"zip","population","zip_code","latitude","longitude","city","state","county"
37211,74389,37211,36.0704,-86.7183,"Nashville","TN","Davidson"
76179,74074,76179,32.9074,-97.4257,"Fort Worth","TX","Tarrant"
89031,74005,89031,36.278,-115.144,"North Las Vegas","NV","Clark"
77845,73969,77845,30.5792,-96.2938,"College Station","TX","Brazos"
75211,73948,75211,32.7365,-96.835,"Dallas","TX","Dallas"
92553,73945,92553,33.8572,-116.72,"Moreno Valley","CA","Riverside"
33411,73919,33411,26.6644,-80.1741,"West Palm Beach","FL","Palm Beach"
47906,73916,47906,40.4673,-86.9281,"West Lafayette","IN","Tippecanoe"
80013,73870,80013,39.6607,-104.763,"Aurora","CO","Arapahoe"
30041,73865,30041,34.2037,-84.1031,"Cumming","GA","Forsyth"
37128,73657,37128,35.8454,-86.4867,"Murfreesboro","TN","Rutherford"
45011,73596,45011,39.4251,-84.4729,"Hamilton","OH","Butler"
85326,73579,85326,33.2765,-112.187,"Buckeye","AZ","Maricopa"
33024,73405,33024,26.0296,-80.2489,"Hollywood","FL","Broward"
11218,73318,11218,40.6443,-73.9784,"Brooklyn","NY","Kings"
92805,73310,92805,33.6403,-117.769,"Anaheim","CA","Orange"
6902,73238,6902,41.0602,-73.5445,"Stamford","CT","Fairfield"
85225,73116,85225,33.326,-111.824,"Chandler","AZ","Maricopa"
19124,72919,19124,40.0216,-75.0937,"Philadelphia","PA","Philadelphia"
80015,72841,80015,39.6674,-104.775,"Aurora","CO","Arapahoe"
83646,72804,83646,43.6521,-116.426,"Meridian","ID","Ada"
92105,72688,92105,32.7374,-117.087,"San Diego","CA","San Diego"
33025,72684,33025,26.1423,-80.2316,"Hollywood","FL","Broward"
75002,72679,75002,33.208,-96.6468,"Allen","TX","Collin"
77450,72651,77450,29.834,-95.4342,"Katy","TX","Harris"
96797,72605,96797,21.3995,-158.015,"Waipahu","HI","Honolulu"
91706,72495,91706,33.7866,-118.299,"Baldwin Park","CA","Los Angeles"
33647,72323,33647,28.1278,-82.3503,"Tampa","FL","Hillsborough"
77036,72278,77036,29.834,-95.4342,"Houston","TX","Harris"
10466,72273,10466,40.8599,-73.841,"Bronx","NY","Bronx"
22191,72215,22191,38.6255,-77.2716,"Woodbridge","VA","Prince William"
93536,72131,93536,33.7866,-118.299,"Lancaster","CA","Los Angeles"
37075,72102,37075,36.3475,-86.612,"Hendersonville","TN","Sumner"
93065,72086,93065,34.2722,-118.734,"Simi Valley","CA","Ventura"
11215,72014,11215,40.6643,-73.9841,"Brooklyn","NY","Kings"
85364,71910,85364,32.6153,-114.649,"Yuma","AZ","Yuma"
10469,71862,10469,40.87,-73.8449,"Bronx","NY","Bronx"
11209,71812,11209,40.6225,-74.0287,"Brooklyn","NY","Kings"
33023,71749,33023,25.9967,-80.2574,"Hollywood","FL","Broward"
60614,71701,60614,41.8119,-87.6873,"Chicago","IL","Cook"
90255,71654,90255,33.978,-118.213,"Huntington Park","CA","Los Angeles"
30127,71642,30127,33.9135,-84.6859,"Powder Springs","GA","Cobb"
20906,71560,20906,39.084,-77.0613,"Silver Spring","MD","Montgomery"
60085,71465,60085,42.3274,-87.982,"Waukegan","IL","Lake"
94536,71445,94536,37.5653,-121.983,"Fremont","CA","Alameda"
19120,71360,19120,40.0316,-75.119,"Philadelphia","PA","Philadelphia"
46307,71355,46307,41.4444,-87.3601,"Crown Point","IN","Lake"
60657,71192,60657,41.8119,-87.6873,"Chicago","IL","Cook"
