zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient,lat,long,Urban_Rural
602,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.361945,-67.175597,Rural
603,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.455183,-67.119887,Rural
606,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.158345,-66.932911,Rural
610,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.295366,-67.125135,Rural
622,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,17.991245,-67.153993,Rural
623,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.083361,-67.153897,Rural
624,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.064919,-66.716683,Rural
637,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.076713,-66.947389,Rural
647,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,17.963613,-66.947127,Rural
653,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,17.985033,-66.886536,Rural
656,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.053539,-66.792931,Rural
660,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.134695,-67.116199,Rural
662,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.46832,-67.015781,Rural
667,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.003422,-67.03581,Rural
670,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.240187,-66.988776,Rural
676,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.377637,-67.079574,Rural
677,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.332568,-67.227022,Rural
680,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.182055,-67.132502,Rural
682,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.221464,-67.156039,Rural
683,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.1078,-67.037263,Rural
